UID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Target
1,S,45,11,39,1,C124,45,30,113043,45.5,0,56OGNNnQ,0,332,28.5,2,0
2,S,74,35,36,2,,14,99,28425,23,0,lpe6DkCG,0,734,13,1,0
3,S,62,38,100,3,,65,47,STON/O 2. 3101293,32,0,H7MHSxHc,0,383,7.925,2,0
4,S,59,94,-3,3,,17,26,350025,26,0,AFt8biyX,1,705,7.8542,1,0
5,S,26,72,33,3,,45,17,347082,6,2,9O4X1MIW,4,814,31.275,2,0
6,C,49,20,68,1,B58 B60,25,53,PC 17558,24,1,z6AlEZ6Q,0,119,247.5208,1,0
7,S,40,66,40,1,B38,9,31,113050,45,0,uo9mBm8D,0,537,26.55,2,0
8,C,-4,71,67,2,,26,51,SC/PARIS 2167,29,0,5bl8VI0t,1,362,27.7208,2,0
9,S,105,-13,44,3,,50,31,349216,,0,rJ2SJ6y9,0,30,7.8958,1,0
10,S,39,10,44,1,C52,31,28,19947,,0,0Yd6aprm,0,56,35.5,2,1
11,S,49,7,61,2,,-7,15,236852,42,0,z2i4MkXU,0,866,13,2,1
12,S,70,75,35,3,,52,93,345773,36,1,wD7FcIwE,1,596,24.15,1,0
13,S,21,27,88,2,,50,2,SCO/W 1585,33,0,VEFyZtaz,0,240,12.275,1,0
14,S,39,80,54,3,,58,50,350048,17,0,aJClIFKA,1,722,7.0542,1,0
15,S,31,26,16,3,,67,48,345779,29,0,RMH42h3r,0,82,9.5,1,1
16,S,21,25,30,2,,48,94,230433,50,1,tmDmC9ot,0,260,26,1,1
17,S,-15,3,67,1,C93,39,29,19943,35,0,793oa6Qg,1,487,90,2,1
18,C,81,14,57,1,C45,49,-4,PC 17757,38,0,x8ONRm2e,0,717,227.525,2,1
19,S,44,33,16,2,,44,48,250647,34,0,djdb2Jv2,0,801,13,2,0
20,S,43,30,50,1,B20,18,47,17474,17,0,2I6yJOBX,1,782,57,1,1
21,S,60,87,13,3,,14,69,347082,11,2,GuRUqUuA,4,543,31.275,1,0
22,S,28,87,10,3,,82,-20,345364,61,0,TQFqUSVE,0,327,6.2375,1,0
23,S,58,51,44,3,,87,1,315084,30,0,gx0QYHkM,0,535,8.6625,1,0
24,S,67,31,133,2,,40,56,F.C.C. 13529,7,2,MHqbJdnH,0,536,26.25,1,1
25,S,65,1,91,3,,56,24,4134,63,0,jqKBpVCZ,0,484,9.5875,1,1
26,C,41,26,-12,3,,78,69,2663,20,0,SoInlFWI,0,763,7.2292,2,1
27,C,63,42,71,3,,49,39,2668,,2,Y0QHriSS,0,534,22.3583,2,1
28,S,59,75,66,3,,26,44,7545,29,0,y5c1Vw7o,0,714,9.4833,1,0
29,S,38,56,25,1,B96 B98,55,73,113760,36,2,ahQuif1e,1,391,120,1,1
30,C,48,45,53,3,,34,55,2627,,0,HQ0EWOMn,0,496,14.4583,2,0
31,S,41,52,73,3,,74,30,A/5 3594,50,0,oyR1keJj,0,483,8.05,1,0
32,C,22,49,24,1,C82,48,72,113503,27,2,0xTRt0XA,0,378,211.5,2,0
33,S,32,27,52,3,,85,60,C 7076,30,0,ag90dUCA,0,366,7.25,2,0
34,Q,-17,52,45,1,C78,73,75,19928,33,0,TJlpeGs9,1,413,90,1,1
35,Q,56,74,55,3,,58,64,36209,,0,msMDq0dr,0,469,7.725,1,0
36,S,38,47,91,3,,55,41,4133,,1,wXv3xa7z,3,410,25.4667,2,0
37,S,59,89,78,3,,43,66,349909,2,1,36BKOLS4,3,8,21.075,1,0
38,S,30,64,30,2,,48,50,237789,25,1,IKTD0Ipo,1,581,30,2,1
39,C,64,70,53,1,,60,56,PC 17597,51,1,vXRm63KE,0,156,61.3792,1,0
40,S,61,54,58,2,,72,58,230433,25,1,4cgUWfiD,0,881,26,2,1
41,S,38,100,40,3,,77,65,A/4. 34244,,0,kW6kNnjX,0,426,7.25,1,0
42,S,34,68,-6,3,,61,56,349215,,0,WwFxaUXb,0,102,7.8958,1,0
43,S,59,123,42,2,,36,54,248747,24,0,6pPPfl3l,0,200,13,1,0
44,S,36,28,36,3,,78,65,370129,18,1,6Y0GDA3q,1,425,20.2125,1,0
45,S,22,38,20,1,C106,91,12,19988,,0,NZZUvN9C,0,299,30.5,2,1
46,S,64,9,109,3,,77,71,SOTON/OQ 392076,25,0,WZG96mcq,0,885,7.05,2,0
47,S,40,65,63,2,,42,41,250649,24,2,VyynnzOE,0,248,14.5,1,1
48,S,87,55,69,3,,79,67,350060,22,0,RgLHir1o,0,479,7.5208,2,0
49,S,63,27,33,1,C22 C26,15,3,113781,0.92,2,mIV7bRcV,1,306,151.55,1,1
